CódigoAeronave;Zona;AsientoInicial;AsientoFinal
LV085;1;1;27
LV085;2;28;44
LV085;3;45;59
LV123;1;1;27
LV123;2;28;42
LV123;3;43;60
LV135;1;1;25
LV135;2;26;40
LV135;3;41;55
LV246;1;1;25
LV246;2;26;44
LV246;3;45;61
LV321;1;1;20
LV321;2;21;34
LV321;3;35;52
LV357;1;1;24
LV357;2;25;49
LV357;3;50;67
LV456;1;1;26
LV456;2;27;46
LV456;3;47;59
LV468;1;1;24
LV468;2;25;40
LV468;3;41;59
LV579;1;1;21
LV579;2;22;36
LV579;3;37;56
LV654;1;1;25
LV654;2;26;47
LV654;3;48;68
LV789;1;1;20
LV789;2;21;44
LV789;3;45;67
LV987;1;1;20
LV987;2;21;36
LV987;3;37;59
